09:00:00.000,35=D;11=LIT-1;54=2;38=700;44=100.0;100=L;,35=D;11=DRK-1;54=2;38=700;44=99.9;100=D;
09:00:00.100,35=D;11=LIT-2;54=1;38=2000;44=100.2;100=L;,35=D;11=DRK-2;54=1;38=1200;44=100.2;100=D;
09:00:00.200,35=D;11=LIT-3;54=2;38=2500;44=100.3;100=L;,35=D;11=DRK-3;54=2;38=400;44=100.4;100=D;
09:00:00.300,35=D;11=LIT-4;54=1;38=2700;44=100.1;100=L;,35=D;11=DRK-4;54=1;38=1000;44=100.3;100=D;
09:00:00.400,35=D;11=LIT-5;54=2;38=2400;44=100.4;100=L;,35=D;11=DRK-5;54=2;38=800;44=100.4;100=D;
09:00:00.500,35=D;11=LIT-6;54=1;38=2300;44=100.3;100=L;,35=D;11=DRK-6;54=1;38=1000;44=100.3;100=D;
09:00:00.600,35=D;11=LIT-7;54=2;38=2400;44=100.3;100=L;,35=D;11=DRK-7;54=2;38=1200;44=100.5;100=D;
09:00:00.700,35=D;11=LIT-8;54=1;38=600;44=100.4;100=L;,35=D;11=DRK-8;54=1;38=400;44=100.4;100=D;
09:00:00.800,35=D;11=LIT-9;54=2;38=2200;44=100.7;100=L;,35=D;11=DRK-9;54=2;38=300;44=100.8;100=D;
09:00:00.900,35=D;11=LIT-10;54=1;38=2300;44=100.9;100=L;,35=D;11=DRK-10;54=1;38=1100;44=101.0;100=D;
09:00:01.000,35=D;11=LIT-11;54=2;38=2900;44=101.1;100=L;,35=D;11=DRK-11;54=2;38=700;44=100.9;100=D;
09:00:01.100,35=D;11=LIT-12;54=1;38=1900;44=100.9;100=L;,35=D;11=DRK-12;54=1;38=700;44=100.8;100=D;
09:00:01.200,35=D;11=LIT-13;54=2;38=1100;44=100.9;100=L;,35=D;11=DRK-13;54=2;38=1200;44=101.0;100=D;
09:00:01.300,35=D;11=LIT-14;54=1;38=800;44=101.1;100=L;,35=D;11=DRK-14;54=1;38=400;44=101.2;100=D;
09:00:01.400,35=D;11=LIT-15;54=2;38=1800;44=101.0;100=L;,35=D;11=DRK-15;54=2;38=300;44=101.1;100=D;
09:00:01.500,35=D;11=LIT-16;54=1;38=200;44=101.0;100=L;,35=D;11=DRK-16;54=1;38=700;44=101.1;100=D;
09:00:01.600,35=D;11=LIT-17;54=2;38=500;44=100.9;100=L;,35=D;11=DRK-17;54=2;38=700;44=101.0;100=D;
09:00:01.700,35=D;11=LIT-18;54=1;38=2500;44=101.0;100=L;,35=D;11=DRK-18;54=1;38=1200;44=100.9;100=D;
09:00:01.800,35=D;11=LIT-19;54=2;38=2300;44=101.1;100=L;,35=D;11=DRK-19;54=2;38=100;44=101.1;100=D;
09:00:01.900,35=D;11=LIT-20;54=1;38=2000;44=100.9;100=L;,35=D;11=DRK-20;54=1;38=500;44=100.9;100=D;
09:00:02.000,35=D;11=LIT-21;54=2;38=2300;44=101.0;100=L;,35=D;11=DRK-21;54=2;38=300;44=100.8;100=D;
09:00:02.100,35=D;11=LIT-22;54=1;38=1500;44=100.8;100=L;,35=D;11=DRK-22;54=1;38=1100;44=100.9;100=D;
